x-axis,1,2
second,Volt,Volt
-5.000000E-03,-16.080402E-03,+1.125628E-03
-4.995000E-03,-2.010050E-03,+884.422E-06
-4.990000E-03,+12.060301E-03,+1.105528E-03
-4.985000E-03,+24.120603E-03,+633.166E-06
-4.980000E-03,+40.201005E-03,+1.085427E-03
-4.975000E-03,+56.281406E-03,+482.412E-06
-4.970000E-03,+72.361808E-03,+683.417E-06
-4.965000E-03,+80.402009E-03,+522.613E-06
-4.960000E-03,+96.482411E-03,+522.613E-06
-4.955000E-03,+114.572863E-03,+412.060E-06
-4.950000E-03,+136.683416E-03,+683.417E-06
-4.945000E-03,+150.753767E-03,+452.261E-06
-4.940000E-03,+160.804018E-03,+804.020E-06
-4.935000E-03,+168.844219E-03,-160.804E-06
-4.930000E-03,+192.964822E-03,+180.905E-06
-4.925000E-03,+201.005023E-03,+50.251E-06
-4.920000E-03,+209.045224E-03,-40.201E-06
-4.915000E-03,+229.145726E-03,+30.151E-06
-4.910000E-03,+245.226128E-03,+0.0E+00
-4.905000E-03,+259.296480E-03,-80.402E-06
-4.900000E-03,+273.366831E-03,-442.211E-06
-4.895000E-03,+289.447233E-03,-331.658E-06
-4.890000E-03,+305.527635E-03,+221.106E-06
-4.885000E-03,+313.567836E-03,-321.608E-06
-4.880000E-03,+329.648238E-03,+40.201E-06
-4.875000E-03,+329.648238E-03,-472.362E-06
-4.870000E-03,+345.728640E-03,-864.322E-06
-4.865000E-03,+353.768840E-03,-502.513E-06
-4.860000E-03,+369.849242E-03,+80.402E-06
-4.855000E-03,+377.889443E-03,-733.668E-06
-4.850000E-03,+385.929644E-03,-864.322E-06
-4.845000E-03,+395.979895E-03,-874.372E-06
-4.840000E-03,+410.050247E-03,-402.010E-06
-4.835000E-03,+410.050247E-03,-713.568E-06
-4.830000E-03,+418.090448E-03,-1.065327E-03
-4.825000E-03,+426.130649E-03,-1.045226E-03
-4.820000E-03,+434.170850E-03,-683.417E-06
-4.815000E-03,+442.211051E-03,-1.386935E-03
-4.810000E-03,+450.251251E-03,-904.523E-06
-4.805000E-03,+458.291452E-03,-1.547739E-03
-4.800000E-03,+450.251251E-03,-1.648241E-03
-4.795000E-03,+466.331653E-03,-1.487437E-03
-4.790000E-03,+466.331653E-03,-1.648241E-03
-4.785000E-03,+474.371854E-03,-1.346734E-03
-4.780000E-03,+474.371854E-03,-1.407035E-03
-4.775000E-03,+474.371854E-03,-1.266332E-03
-4.770000E-03,+482.412055E-03,-1.608040E-03
-4.765000E-03,+484.422105E-03,-1.376884E-03
