x-axis,1,2,F1
second,Volt,Volt,Volt
-4.560000E-03,+184.924621E-03,-110.280652E-03,+292.991932E-03
-4.555000E-03,+168.844219E-03,-112.933918E-03,+279.578845E-03
-4.550000E-03,+152.763817E-03,-115.587185E-03,+270.179675E-03
-4.545000E-03,+136.683416E-03,-118.240451E-03,+252.752673E-03
-4.540000E-03,+120.603014E-03,-120.893717E-03,+247.367419E-03
-4.535000E-03,+112.562813E-03,-123.546984E-03,+225.926500E-03
-4.530000E-03,+96.482411E-03,-123.546984E-03,+215.206041E-03
-4.525000E-03,+84.422110E-03,-126.200250E-03,+206.467515E-03
-4.520000E-03,+72.361808E-03,-128.853516E-03,+191.072495E-03
-4.515000E-03,+56.281406E-03,-128.853516E-03,+177.659409E-03
-4.510000E-03,+32.160804E-03,-131.506782E-03,+162.925034E-03
-4.505000E-03,+22.110553E-03,-132.170099E-03,+148.190658E-03
-4.500000E-03,+8.040201E-03,-134.160049E-03,+132.134994E-03
-4.495000E-03,-10.050251E-03,-134.823365E-03,+124.767806E-03
-4.490000E-03,-24.120603E-03,-138.139948E-03,+102.666243E-03
-4.485000E-03,-46.231155E-03,-138.803265E-03,+91.260115E-03
-4.480000E-03,-64.321607E-03,-136.813315E-03,+81.225324E-03
-4.475000E-03,-72.361808E-03,-134.823365E-03,+63.187726E-03
-4.470000E-03,-84.422110E-03,-138.139948E-03,+49.113995E-03
-4.465000E-03,-102.512562E-03,-139.466581E-03,+27.037457E-03
-4.460000E-03,-120.603014E-03,-139.466581E-03,+17.002666E-03
-4.455000E-03,-138.693466E-03,-142.119848E-03,-399.312E-06
-4.450000E-03,-148.743717E-03,-138.139948E-03,-15.108663E-03
-4.445000E-03,-166.834169E-03,-139.466581E-03,-23.161519E-03
-4.440000E-03,-176.884420E-03,-142.119848E-03,-47.219992E-03
-4.435000E-03,-192.964822E-03,-138.139948E-03,-65.918234E-03
-4.430000E-03,-205.025123E-03,-138.139948E-03,-71.303489E-03
-4.425000E-03,-225.125626E-03,-138.803265E-03,-87.359153E-03
-4.420000E-03,-241.206028E-03,-136.813315E-03,-106.057396E-03
-4.415000E-03,-245.226128E-03,-136.813315E-03,-116.092186E-03
-4.410000E-03,-265.326630E-03,-134.160049E-03,-132.783471E-03
-4.405000E-03,-273.366831E-03,-132.170099E-03,-148.839135E-03
-4.400000E-03,-297.487434E-03,-128.853516E-03,-159.509546E-03
-4.395000E-03,-299.497484E-03,-131.506782E-03,-175.565210E-03
-4.390000E-03,-313.567836E-03,-128.853516E-03,-194.263453E-03
-4.385000E-03,-323.618087E-03,-128.853516E-03,-200.944972E-03
-4.380000E-03,-345.728640E-03,-123.546984E-03,-220.989528E-03
-4.375000E-03,-351.758790E-03,-123.546984E-03,-235.038234E-03
-4.370000E-03,-361.809041E-03,-122.220350E-03,-243.701687E-03
-4.365000E-03,-381.909544E-03,-120.230401E-03,-260.367947E-03
-4.360000E-03,-377.889443E-03,-115.587185E-03,-269.056424E-03
-4.355000E-03,-391.959795E-03,-115.587185E-03,-279.726834E-03
-4.350000E-03,-406.030146E-03,-112.933918E-03,-290.397245E-03
-4.345000E-03,-412.060297E-03,-110.280652E-03,-307.088529E-03
-4.340000E-03,-418.090448E-03,-104.974119E-03,-311.738065E-03
-4.335000E-03,-426.130649E-03,-106.300753E-03,-324.415434E-03
-4.330000E-03,-430.150749E-03,-100.994220E-03,-337.092803E-03
-4.325000E-03,-442.211051E-03,-99.667587E-03,-353.759063E-03
-4.320000E-03,-450.251251E-03,-91.707788E-03,-365.090118E-03
-4.315000E-03,-450.251251E-03,-89.054522E-03,-367.732696E-03
-4.310000E-03,-466.331653E-03,-87.727888E-03,-378.403106E-03
-4.305000E-03,-468.341704E-03,-83.747989E-03,-389.734161E-03
-4.300000E-03,-474.371854E-03,-81.094723E-03,-402.386505E-03
-4.295000E-03,-480.402005E-03,-77.778140E-03,-411.049958E-03
-4.290000E-03,-486.432156E-03,-73.134924E-03,-413.006867E-03
-4.285000E-03,-488.442206E-03,-70.481658E-03,-420.984651E-03
-4.280000E-03,-498.492457E-03,-65.175125E-03,-423.627229E-03
-4.275000E-03,-490.452256E-03,-62.521859E-03,-436.279573E-03
-4.270000E-03,-498.492457E-03,-59.868592E-03,-440.904085E-03
-4.265000E-03,-492.462306E-03,-54.562060E-03,-444.867952E-03
-4.260000E-03,-498.492457E-03,-49.255527E-03,-455.538362E-03
-4.255000E-03,-500.502507E-03,-46.602261E-03,-460.823519E-03
-4.250000E-03,-506.532658E-03,-41.295728E-03,-463.466097E-03
-4.245000E-03,-506.532658E-03,-38.642462E-03,-468.751253E-03
-4.240000E-03,-506.532658E-03,-35.989196E-03,-474.036410E-03
-4.235000E-03,-506.532658E-03,-30.682663E-03,-482.699862E-03
-4.230000E-03,-502.512557E-03,-25.376130E-03,-481.964144E-03
-4.225000E-03,-506.532658E-03,-22.722864E-03,-478.585848E-03
-4.220000E-03,-498.492457E-03,-14.763065E-03,-489.891879E-03
-4.215000E-03,-502.512557E-03,-12.109799E-03,-487.149203E-03
-4.210000E-03,-498.492457E-03,-6.803266E-03,-485.777865E-03
-4.205000E-03,-482.412055E-03,-4.150000E-03,-486.388461E-03
-4.200000E-03,-482.412055E-03,-1.496734E-03,-492.334262E-03
-4.195000E-03,-480.402005E-03,+3.809799E-03,-484.942050E-03
-4.190000E-03,-474.371854E-03,+7.789698E-03,-482.885043E-03
-4.185000E-03,-466.331653E-03,+12.432914E-03,-478.821078E-03
-4.180000E-03,-458.291452E-03,+17.076130E-03,-473.435824E-03
-4.175000E-03,-452.261302E-03,+20.392713E-03,-478.720980E-03
-4.170000E-03,-450.251251E-03,+26.362563E-03,-475.978304E-03
-4.165000E-03,-442.211051E-03,+32.332412E-03,-474.581942E-03
-4.160000E-03,-434.170850E-03,+35.648995E-03,-467.850374E-03
-4.155000E-03,-428.140699E-03,+38.302261E-03,-464.447054E-03
-4.150000E-03,-418.090448E-03,+42.282160E-03,-459.722445E-03
-4.145000E-03,-410.050247E-03,+47.588693E-03,-456.979769E-03
-4.140000E-03,-393.969845E-03,+51.568592E-03,-454.237093E-03
-4.135000E-03,-385.929644E-03,+52.231909E-03,-448.191194E-03
-4.130000E-03,-377.889443E-03,+59.528391E-03,-435.438752E-03
-4.125000E-03,-375.879393E-03,+63.508291E-03,-432.035432E-03
-4.120000E-03,-361.809041E-03,+64.834924E-03,-427.310823E-03
-4.115000E-03,-353.768840E-03,+69.478140E-03,-423.907502E-03
-4.110000E-03,-341.708539E-03,+72.794723E-03,-411.155060E-03
-4.105000E-03,-327.638187E-03,+78.101255E-03,-405.769806E-03
-4.100000E-03,-313.567836E-03,+80.754522E-03,-392.356720E-03
-4.095000E-03,-303.517585E-03,+86.061054E-03,-389.614044E-03
-4.090000E-03,-285.427133E-03,+88.714321E-03,-376.200958E-03
-4.085000E-03,-273.366831E-03,+91.367587E-03,-362.787872E-03
-4.080000E-03,-257.286429E-03,+91.367587E-03,-360.045196E-03
-4.075000E-03,-249.246228E-03,+96.674120E-03,-346.632109E-03
-4.070000E-03,-233.165827E-03,+100.654019E-03,-333.219023E-03
-4.065000E-03,-211.055274E-03,+102.643969E-03,-319.805937E-03
-4.060000E-03,-201.005023E-03,+107.287185E-03,-306.392850E-03
-4.055000E-03,-186.934671E-03,+109.277135E-03,-301.668241E-03
-4.050000E-03,-168.844219E-03,+107.287185E-03,-286.273221E-03
-4.045000E-03,-160.804018E-03,+111.930401E-03,-273.520779E-03
-4.040000E-03,-152.763817E-03,+115.246984E-03,-266.153592E-03
-4.035000E-03,-136.683416E-03,+117.900250E-03,-252.715481E-03
-4.030000E-03,-112.562813E-03,+119.226883E-03,-239.327419E-03
-4.025000E-03,-98.492461E-03,+122.543466E-03,-225.914333E-03
-4.020000E-03,-88.442210E-03,+123.206783E-03,-201.830836E-03
-4.015000E-03,-66.331658E-03,+123.870099E-03,-197.081202E-03
-4.010000E-03,-52.261306E-03,+125.860049E-03,-183.032496E-03
-4.005000E-03,-32.160804E-03,+128.513315E-03,-166.976831E-03
-4.000000E-03,-16.080402E-03,+128.513315E-03,-150.921167E-03
-3.995000E-03,-6.030151E-03,+129.176632E-03,-137.508080E-03
-3.990000E-03,+8.040201E-03,+131.166582E-03,-122.773705E-03
-3.985000E-03,+24.120603E-03,+131.166582E-03,-116.067162E-03
-3.980000E-03,+40.201005E-03,+131.166582E-03,-100.011497E-03
-3.975000E-03,+50.251256E-03,+133.819848E-03,-84.591453E-03
-3.970000E-03,+68.341708E-03,+136.473114E-03,-66.528830E-03
-3.965000E-03,+86.432160E-03,+134.483164E-03,-48.466208E-03
-3.960000E-03,+104.522612E-03,+136.473114E-03,-38.431417E-03
-3.955000E-03,+112.562813E-03,+133.819848E-03,-16.354879E-03
-3.950000E-03,+132.663315E-03,+133.819848E-03,-6.320088E-03
-3.945000E-03,+140.703516E-03,+134.483164E-03,+9.735576E-03
-3.940000E-03,+160.804018E-03,+133.819848E-03,+17.763408E-03
-3.935000E-03,+170.854270E-03,+131.829898E-03,+36.461651E-03
-3.930000E-03,+188.944722E-03,+133.819848E-03,+52.517316E-03
-3.925000E-03,+207.035174E-03,+133.819848E-03,+66.591047E-03
-3.920000E-03,+217.085425E-03,+131.166582E-03,+84.628645E-03
-3.915000E-03,+227.135676E-03,+129.176632E-03,+101.344954E-03
-3.910000E-03,+241.206028E-03,+129.839948E-03,+110.033431E-03
-3.905000E-03,+261.306530E-03,+128.513315E-03,+126.749740E-03
-3.900000E-03,+273.366831E-03,+128.513315E-03,+135.438216E-03
-3.895000E-03,+289.447233E-03,+127.849999E-03,+154.136459E-03
-3.890000E-03,+301.507534E-03,+124.533416E-03,+176.848618E-03
-3.885000E-03,+307.537685E-03,+121.216833E-03,+182.844468E-03
-3.880000E-03,+321.608037E-03,+123.206783E-03,+199.560777E-03
-3.875000E-03,+331.658288E-03,+117.900250E-03,+210.231187E-03
-3.870000E-03,+345.728640E-03,+116.573617E-03,+224.915514E-03
-3.865000E-03,+357.788941E-03,+115.246984E-03,+235.610949E-03
-3.860000E-03,+369.849242E-03,+112.593717E-03,+250.270251E-03
-3.855000E-03,+375.879393E-03,+107.287185E-03,+258.298083E-03
-3.850000E-03,+385.929644E-03,+105.960552E-03,+278.317615E-03
-3.845000E-03,+393.969845E-03,+105.297235E-03,+289.648670E-03
-3.840000E-03,+402.010046E-03,+101.980652E-03,+298.337147E-03
-3.835000E-03,+412.060297E-03,+99.327386E-03,+309.007557E-03
-3.830000E-03,+418.090448E-03,+94.020853E-03,+320.999257E-03
-3.825000E-03,+432.160799E-03,+93.357537E-03,+332.990956E-03
-3.820000E-03,+434.170850E-03,+91.367587E-03,+343.661367E-03
-3.815000E-03,+442.211051E-03,+86.061054E-03,+346.964589E-03
-3.810000E-03,+442.211051E-03,+83.407788E-03,+358.295644E-03
-3.805000E-03,+448.241201E-03,+80.754522E-03,+370.287344E-03
-3.800000E-03,+458.291452E-03,+72.794723E-03,+380.957754E-03
-3.795000E-03,+464.321603E-03,+72.131406E-03,+392.263785E-03
-3.790000E-03,+462.311553E-03,+68.814823E-03,+395.592032E-03
-3.785000E-03,+472.361804E-03,+64.834924E-03,+401.537833E-03
-3.780000E-03,+474.371854E-03,+59.528391E-03,+412.868888E-03
